"","Astro","Micro","Endo","Oligo","OPC","Inh","Exc"
"cg04836042",0,0.9,0.111111111111111,0.333333333333333,0,0.977477477477477,0.967329545454545
"cg27455034",0,0.75,1,0.714285714285714,0.428571428571429,0.969635627530364,0.980544747081712
"cg23095799",0,0.857142857142857,1,0.8,0,0.977827050997783,0.976573938506589
"cg17990365",0.032258064516129,0.666666666666667,0,0.705882352941177,0.888888888888889,0.98936170212766,0.983783783783784
"cg07680129",0,0.916666666666667,0.714285714285714,0.8,0.333333333333333,0.985365853658537,0.972303206997085
"cg18803699",0,0.8,0.941176470588235,0.62962962962963,0.583333333333333,0.974729241877256,0.972314507198228
"cg02711951",0,0.8,0.875,0.714285714285714,0.25,0.972972972972973,0.988391376451078
"cg12233571",0,0.444444444444444,0.727272727272727,1,1,0.982261640798226,0.982352941176471
"cg10973726",0,1,1,1,0.833333333333333,0.961538461538462,0.952173913043478
"cg04264167",0.0357142857142857,1,0.857142857142857,0.923076923076923,1,0.980645161290323,0.978217821782178
"cg24457118",0,0.714285714285714,1,0.875,1,0.960167714884696,0.99039780521262
"cg13289177",0.0740740740740741,0.333333333333333,1,1,0.75,0.991596638655462,0.986434108527132
"cg02220933",0.1,0.909090909090909,0.727272727272727,0.65625,0.166666666666667,0.981894150417827,0.979591836734694
"cg21169762",0.0357142857142857,0.666666666666667,0,1,0.846153846153846,0.983636363636364,0.979695431472081
"cg23153546",0,0.5,0.153846153846154,0.863636363636364,1,0.976315789473684,0.985714285714286
"cg20732296",0.0714285714285714,0.833333333333333,0.75,0.909090909090909,1,0.962962962962963,0.987117552334944
"cg06242800",0,0.75,0.625,0,0,0.982367758186398,0.9875
"cg09197783",0.0666666666666667,1,1,0.125,0.0769230769230769,0.979166666666667,0.984231274638633
"cg22942794",0,1,0.375,1,0.888888888888889,0.980246913580247,0.992236024844721
"cg20673974",0,1,0.7,0.5,0.222222222222222,0.979498861047836,0.98125
"cg17932056",0.0344827586206897,0.666666666666667,1,0,0,0.973045822102426,0.985270049099836
"cg12457243",0,0.75,1,0.823529411764706,0.777777777777778,0.985294117647059,0.992412746585736
"cg04345620",0,1,0.133333333333333,0.25,0,0.985106382978723,0.970430107526882
"cg19716697",0.115384615384615,1,1,0.857142857142857,0.857142857142857,0.98974358974359,0.987972508591065
"cg18623322",0,0.9,0.888888888888889,0.5,0.166666666666667,0.981651376146789,0.982507288629738
"cg09821393",0.04,1,0.777777777777778,1,0.8,0.970720720720721,0.983333333333333
"cg19601954",0.0416666666666667,0.875,1,0.941176470588235,1,0.983372921615202,0.977477477477477
"cg01864933",0,1,1,0.923076923076923,1,0.986301369863014,0.976909413854352
"cg08675002",0.08,0.666666666666667,0.461538461538462,1,1,0.988614800759013,0.98406862745098
"cg09322899",0,1,0.692307692307692,0.923076923076923,1,0.966321243523316,0.968602825745683
"cg25071787",0,0.909090909090909,1,0.428571428571429,0,0.986111111111111,0.981543624161074
"cg00893849",0.0357142857142857,0,0.909090909090909,0.636363636363636,0.411764705882353,0.969072164948454,0.981505944517834
"cg01692596",0.0416666666666667,1,0.846153846153846,0.740740740740741,0.125,0.986111111111111,0.988031914893617
"cg20599852",0,0.555555555555556,1,0,0,0.975369458128079,0.984350547730829
"cg03080147",1,0.166666666666667,0.5,0.0555555555555556,0,0.00531914893617021,0.014308426073132
"cg19472243",0,1,0.571428571428571,0.952380952380952,1,0.990196078431373,0.980735551663748
"cg18214750",0,1,1,0.833333333333333,0,0.989276139410188,0.987522281639929
"cg22059717",0.0434782608695652,0.666666666666667,1,0.933333333333333,1,0.975336322869955,0.985734664764622
"cg06040093",0.954545454545455,0.5,1,0,0,0.0121359223300971,0.0109289617486339
"cg22246148",0,1,1,1,0.923076923076923,0.966346153846154,0.980332829046899
"cg20325850",0,1,1,0.8,0.25,0.988290398126464,0.981268011527378
"cg24447788",0.0384615384615385,1,1,0.461538461538462,0.384615384615385,0.961538461538462,0.986607142857143
"cg18662975",0,1,0.857142857142857,0.875,1,0.982507288629738,0.977596741344195
"cg10600964",0,0.5,0.916666666666667,0,0,0.956818181818182,0.983655274888559
"cg04921023",0,0.777777777777778,0.5,0.857142857142857,0.454545454545455,0.98019801980198,0.986220472440945
"cg00577560",0,0.833333333333333,0.375,0.5,0.272727272727273,0.912,0.984051036682616
"cg13149890",0,0.777777777777778,1,0.666666666666667,0,0.97508896797153,0.957486136783734
"cg26931655",0,1,0.923076923076923,0.75,0.727272727272727,0.957178841309824,0.974235104669887
"cg15711079",0,0.333333333333333,1,0.857142857142857,1,0.984886649874055,0.970588235294118
"cg08913969",0,0.75,1,0.105263157894737,0,0.991735537190083,0.993485342019544
"cg07371151",0,0.7,0,0.85,0.9,0.917960088691796,0.989705882352941
"cg03420647",0,0.6,1,1,0.666666666666667,0.984732824427481,0.986486486486487
"cg19788036",0,0.875,0.777777777777778,0.909090909090909,1,0.975669099756691,0.974588938714499
